step_time,reward,total_stopped,total_wait_time
1170.0,-21,50,11716.0
1175.0,-16,43,11155.0
1180.0,-15,44,10989.0
1185.0,-19,49,11224.0
1190.0,-15,49,11085.0
1195.0,-17,48,10654.0
1200.0,-17,48,10590.0
1205.0,-17,54,10844.0
1210.0,-17,57,11120.0
1215.0,-18,54,11148.0
1220.0,-18,48,10914.0
1225.0,-18,50,10995.0
1230.0,-20,57,11269.0
1235.0,-19,58,11388.0
1240.0,-19,54,11333.0
1245.0,-18,53,11286.0
1250.0,-16,59,11564.0
1255.0,-17,62,11864.0
1260.0,-17,61,12082.0
1265.0,-18,59,12201.0
1270.0,-17,65,12488.0
1275.0,-19,63,12519.0
1280.0,-18,61,12276.0
1285.0,-19,55,12526.0
1290.0,-19,52,12786.0
1295.0,-17,59,13063.0
1300.0,-17,64,13363.0
1305.0,-17,69,13693.0
1310.0,-18,74,14056.0
1315.0,-20,78,14438.0
1320.0,-19,75,14003.0
1325.0,-14,74,12120.0
1330.0,-14,76,12493.0
1335.0,-16,76,12736.0
1340.0,-16,69,12186.0
1345.0,-13,64,12465.0
1350.0,-16,66,12763.0
1355.0,-19,67,13086.0
1360.0,-20,70,13418.0
1365.0,-18,72,13740.0
1370.0,-18,76,14110.0
1375.0,-20,77,14486.0
1380.0,-19,73,14836.0
1385.0,-19,70,15063.0
1390.0,-18,65,15167.0
1395.0,-18,67,15494.0
1400.0,-18,68,15823.0
1405.0,-22,68,16155.0
1410.0,-23,72,16506.0
1415.0,-22,71,16467.0
1420.0,-17,67,16009.0
1425.0,-19,64,16297.0
1430.0,-20,61,16407.0
1435.0,-13,56,15739.0
1440.0,-1,55,15729.0
1445.0,4,53,15897.0
1450.0,10,55,16146.0
1455.0,6,56,16253.0
1460.0,-1,57,15786.0
1465.0,-5,57,15294.0
1470.0,-11,47,15310.0
1475.0,-17,43,15103.0
1480.0,-12,45,14599.0
1485.0,-8,44,13788.0
1490.0,2,50,14022.0
1495.0,11,54,14274.0
1500.0,6,58,14352.0
1505.0,6,53,13855.0
1510.0,1,49,13141.0
1515.0,-6,49,13052.0
1520.0,-10,48,13293.0
1525.0,-17,52,13499.0
1530.0,-16,59,13725.0
1535.0,-16,68,14043.0
1540.0,-12,64,13577.0
1545.0,-5,58,12300.0
1550.0,6,51,12302.0
1555.0,11,49,12552.0
1560.0,12,53,12803.0
1565.0,7,57,13058.0
1570.0,0,63,13342.0
1575.0,2,60,12837.0
1580.0,8,56,12639.0
1585.0,10,49,12257.0
1590.0,13,43,11729.0
1595.0,8,43,11586.0
1600.0,0,47,11808.0
1605.0,2,56,11507.0
1610.0,2,59,10683.0
1615.0,4,61,10986.0
1620.0,13,59,11267.0
1625.0,11,62,11536.0
1630.0,7,66,11841.0
1635.0,8,67,11611.0
1640.0,9,66,11927.0
1645.0,12,66,12249.0
1650.0,6,61,12177.0
1655.0,4,55,11650.0
1660.0,0,53,11669.0
1665.0,-5,52,11931.0
1670.0,-11,55,12204.0
1675.0,-12,54,11530.0
1680.0,-8,51,9940.0
1685.0,5,47,9399.0
1690.0,13,47,9430.0
1695.0,12,50,9279.0
1700.0,7,54,9535.0
1705.0,2,57,9802.0
1710.0,5,58,9523.0
1715.0,8,55,8746.0
1720.0,10,59,9028.0
1725.0,11,62,9332.0
1730.0,9,67,9659.0
1735.0,9,72,10009.0
1740.0,-1,71,10027.0
1745.0,-5,65,9594.0
1750.0,-10,61,9246.0
1755.0,-14,57,9362.0
1760.0,-15,63,9655.0
1765.0,-21,68,9985.0
1770.0,-21,73,10338.0
1775.0,-17,74,10673.0
1780.0,-15,75,11012.0
1785.0,-16,74,11361.0
1790.0,-18,74,11733.0
1795.0,-17,77,12111.0
1800.0,-21,76,12485.0
1805.0,-16,71,12298.0
1810.0,-8,65,11659.0
1815.0,4,59,11698.0
1820.0,12,60,11947.0
1825.0,8,66,12029.0
1830.0,4,69,11771.0
1835.0,-2,67,12097.0
1840.0,-1,66,12225.0
1845.0,3,65,12150.0
1850.0,6,67,12300.0
1855.0,14,67,12486.0
1860.0,12,66,12519.0
1865.0,11,66,12703.0
1870.0,3,66,13030.0
1875.0,-4,71,13169.0
1880.0,-11,73,13115.0
1885.0,-14,70,13136.0
1890.0,-17,67,12876.0
1895.0,-14,70,12758.0
1900.0,-2,69,12549.0
1905.0,2,66,11814.0
1910.0,9,62,11951.0
1915.0,3,57,11891.0
1920.0,0,59,12183.0
1925.0,-9,63,12325.0
1930.0,-11,66,12316.0
1935.0,-16,71,12498.0
1940.0,-17,76,12869.0
1945.0,-10,74,13008.0
1950.0,-2,67,12722.0
1955.0,6,60,12483.0
1960.0,11,56,12772.0
1965.0,11,57,13054.0
1970.0,10,65,13360.0
1975.0,7,73,13708.0
1980.0,3,73,13843.0
1985.0,6,69,13558.0
1990.0,11,60,13013.0
1995.0,10,51,12263.0
2000.0,10,47,12502.0
2005.0,6,54,12752.0
2010.0,2,65,13055.0
2015.0,3,78,13423.0
2020.0,-6,80,13798.0
2025.0,-11,78,13965.0
2030.0,-3,75,13896.0
2035.0,8,70,14101.0
2040.0,13,55,13383.0
2045.0,12,42,12195.0
2050.0,9,42,12265.0
2055.0,2,49,12490.0
2060.0,-4,57,12756.0
2065.0,-4,64,12898.0
2070.0,1,65,13037.0
2075.0,5,66,13229.0
2080.0,8,60,13290.0
2085.0,5,58,13569.0
2090.0,4,58,13597.0
2095.0,1,57,13343.0
2100.0,-3,60,13627.0
2105.0,-11,58,13781.0
2110.0,-14,59,13856.0
2115.0,-16,59,13958.0
2120.0,-14,59,13958.0
2125.0,-17,63,14138.0
2130.0,-16,68,14469.0
2135.0,-18,69,14691.0
2140.0,-18,69,14809.0
2145.0,-16,61,14995.0
2150.0,-18,57,14981.0
2155.0,-9,52,14130.0
2160.0,0,46,13886.0
2165.0,6,43,13860.0
2170.0,13,43,14076.0
2175.0,12,52,14323.0
2180.0,6,61,14606.0
2185.0,3,66,14768.0
2190.0,2,74,15123.0
2195.0,-7,73,14791.0
2200.0,-12,66,13050.0
2205.0,-20,59,13113.0
2210.0,-19,54,13237.0
2215.0,-19,59,13491.0
2220.0,-15,58,13111.0
2225.0,-12,55,11867.0
2230.0,-6,49,10878.0
2235.0,3,48,10884.0
2240.0,12,52,11142.0
2245.0,11,48,11012.0
2250.0,9,46,10429.0
2255.0,4,48,10290.0
2260.0,-2,50,10405.0
2265.0,-5,51,10338.0
2270.0,-15,52,10537.0
2275.0,-20,47,10660.0
2280.0,-18,53,10899.0
2285.0,-19,63,11184.0
2290.0,-18,65,11072.0
2295.0,-18,68,10585.0
2300.0,-11,64,10643.0
2305.0,0,62,10690.0
2310.0,7,60,10963.0
2315.0,10,56,11187.0
2320.0,7,56,11446.0
2325.0,4,62,11744.0
2330.0,-1,61,11803.0
2335.0,-6,62,11672.0
2340.0,-16,66,11900.0
2345.0,-17,65,12219.0
2350.0,-17,67,12541.0
2355.0,-12,60,11723.0
2360.0,-4,51,9660.0
