step_time,reward,total_stopped,total_wait_time
5.0,0,0,0.0
10.0,2,0,0.0
15.0,4,0,0.0
20.0,5,0,0.0
25.0,4,0,0.0
30.0,1,2,8.0
35.0,-1,4,25.0
40.0,1,6,51.0
45.0,1,8,86.0
50.0,-2,8,126.0
55.0,-4,9,170.0
60.0,-3,9,215.0
65.0,-2,9,260.0
70.0,-1,9,305.0
75.0,-2,7,306.0
80.0,-5,5,220.0
85.0,2,2,181.0
90.0,4,3,92.0
95.0,5,7,88.0
100.0,5,9,122.0
105.0,0,13,185.0
110.0,2,15,257.0
115.0,2,16,330.0
120.0,1,18,414.0
125.0,2,17,433.0
130.0,5,16,440.0
135.0,3,16,492.0
140.0,3,21,584.0
145.0,0,20,645.0
150.0,-3,20,659.0
155.0,-5,24,771.0
160.0,-6,25,894.0
165.0,-6,26,1020.0
170.0,-6,27,1152.0
175.0,-7,27,1281.0
180.0,-8,25,1327.0
185.0,-10,21,1179.0
190.0,-8,23,1284.0
195.0,-7,27,1406.0
200.0,-8,28,1545.0
205.0,-6,31,1693.0
210.0,-11,33,1857.0
215.0,-10,32,2013.0
220.0,-12,33,2164.0
225.0,-10,28,2198.0
230.0,-11,24,2140.0
235.0,-12,22,2250.0
240.0,-11,27,2367.0
245.0,-14,33,2523.0
250.0,-16,38,2706.0
255.0,-16,39,2898.0
260.0,-18,42,3105.0
265.0,-17,38,3284.0
270.0,-16,39,3471.0
275.0,-16,37,3529.0
280.0,-18,37,3466.0
285.0,-17,39,3647.0
290.0,-15,38,3833.0
295.0,-17,35,3965.0
300.0,-13,34,3834.0
305.0,-5,30,3597.0
310.0,4,26,3716.0
315.0,12,27,3853.0
320.0,8,27,3790.0
325.0,6,30,3926.0
330.0,-2,35,4089.0
335.0,-5,41,4282.0
340.0,-12,40,4475.0
345.0,-15,41,4672.0
350.0,-17,38,4561.0
355.0,-11,31,4281.0
360.0,-4,28,3939.0
365.0,7,24,3844.0
370.0,11,21,3720.0
375.0,10,20,3395.0
380.0,10,23,3297.0
385.0,5,30,3430.0
390.0,0,38,3604.0
395.0,-8,47,3821.0
400.0,-12,45,4031.0
405.0,-18,44,4208.0
410.0,-12,40,4171.0
415.0,-4,37,3924.0
420.0,4,37,3909.0
425.0,13,37,4088.0
430.0,9,37,4248.0
435.0,7,40,4438.0
440.0,2,47,4654.0
445.0,1,52,4903.0
450.0,-3,52,5157.0
455.0,-7,52,5410.0
460.0,-14,51,5575.0
465.0,-16,56,5843.0
470.0,-20,62,6144.0
475.0,-20,61,6447.0
480.0,-15,56,6467.0
485.0,-9,49,6053.0
490.0,3,41,5765.0
495.0,15,36,5894.0
500.0,10,35,6022.0
505.0,8,40,6203.0
510.0,3,48,6425.0
515.0,0,53,6666.0
520.0,-5,50,6341.0
525.0,-1,40,5468.0
530.0,8,33,5638.0
535.0,13,32,5791.0
540.0,8,37,5963.0
545.0,6,44,6171.0
550.0,-1,51,6411.0
555.0,-2,58,6683.0
560.0,-5,55,6461.0
565.0,-12,42,5450.0
570.0,-18,36,5580.0
575.0,-17,33,5746.0
580.0,-17,40,5926.0
585.0,-17,44,6137.0
590.0,-18,52,6379.0
595.0,-13,51,6341.0
600.0,-5,50,6159.0
605.0,4,46,6386.0
610.0,12,47,6618.0
615.0,11,43,6533.0
620.0,8,47,6237.0
625.0,3,49,6469.0
630.0,-3,53,6724.0
635.0,-9,57,7001.0
640.0,-15,57,7286.0
645.0,-18,58,7574.0
650.0,-19,56,7619.0
655.0,-19,50,7408.0
660.0,-19,49,7421.0
665.0,-21,45,7384.0
670.0,-23,45,6891.0
675.0,-23,44,7109.0
680.0,-18,42,7286.0
685.0,-18,48,7431.0
690.0,-17,55,7690.0
695.0,-15,58,7971.0
700.0,-16,57,7980.0
705.0,-19,50,7732.0
710.0,-14,44,7624.0
715.0,-5,36,7022.0
720.0,8,31,6736.0
725.0,14,32,6706.0
730.0,12,35,6870.0
735.0,5,44,7066.0
740.0,3,51,7296.0
745.0,1,57,7567.0
750.0,-7,61,7866.0
755.0,-10,63,8173.0
760.0,-16,63,8482.0
765.0,-20,63,8795.0
770.0,-15,55,8739.0
775.0,-16,44,8308.0
780.0,-17,41,8198.0
785.0,-16,45,8414.0
790.0,-13,42,8232.0
795.0,-4,39,7343.0
800.0,7,28,6568.0
805.0,13,25,6410.0
810.0,11,26,6536.0
815.0,9,35,6686.0
820.0,3,40,6872.0
825.0,-2,50,7103.0
830.0,-6,51,7106.0
835.0,-15,50,6769.0
840.0,-17,42,6651.0
845.0,-14,35,5973.0
850.0,-8,28,5266.0
855.0,5,26,5360.0
860.0,12,26,5456.0
865.0,8,28,5401.0
870.0,3,33,5230.0
875.0,0,34,5278.0
880.0,-5,45,5482.0
885.0,-7,50,5723.0
890.0,-16,53,5961.0
895.0,-14,51,6216.0
900.0,-16,48,6438.0
905.0,-10,46,6311.0
910.0,-2,42,5735.0
915.0,6,32,5334.0
920.0,15,31,5425.0
925.0,10,35,5566.0
930.0,6,40,5747.0
935.0,-1,42,5920.0
940.0,-3,45,6142.0
945.0,-10,45,6345.0
950.0,-14,45,6530.0
955.0,-12,41,6607.0
960.0,-16,38,6482.0
965.0,-18,44,6693.0
970.0,-20,46,6923.0
975.0,-22,47,7154.0
980.0,-22,45,7045.0
985.0,-22,38,6572.0
990.0,-14,32,6373.0
995.0,-4,27,5829.0
1000.0,9,25,5916.0
1005.0,17,26,5977.0
1010.0,12,32,6121.0
1015.0,5,40,6305.0
1020.0,1,42,6381.0
1025.0,3,40,6154.0
1030.0,4,36,5719.0
1035.0,5,32,5828.0
1040.0,12,33,5970.0
1045.0,8,36,6129.0
1050.0,6,37,6299.0
1055.0,-2,40,6485.0
1060.0,-3,45,6701.0
1065.0,-9,46,6525.0
1070.0,-8,40,5819.0
1075.0,-5,32,5509.0
1080.0,7,24,5616.0
1085.0,11,28,5722.0
1090.0,11,32,5875.0
1095.0,7,39,6054.0
1100.0,3,43,5909.0
1105.0,0,46,5466.0
1110.0,-7,43,5688.0
1115.0,-16,43,5894.0
1120.0,-15,45,6115.0
1125.0,-16,49,6353.0
1130.0,-15,55,6608.0
1135.0,-17,61,6901.0
1140.0,-16,63,7204.0
1145.0,-16,65,7518.0
1150.0,-10,66,7585.0
1155.0,-4,66,7390.0
1160.0,5,65,7714.0
1165.0,13,65,8026.0
1170.0,9,68,8352.0
1175.0,5,68,8597.0
1180.0,-1,68,8748.0
1185.0,-3,67,8986.0
1190.0,-9,69,9103.0
1195.0,-14,72,9451.0
1200.0,-17,75,9821.0
1205.0,-18,74,10178.0
1210.0,-16,74,10550.0
1215.0,-14,73,10876.0
1220.0,-14,74,11207.0
1225.0,-10,73,11285.0
1230.0,-6,69,11061.0
1235.0,6,64,11136.0
1240.0,12,62,11427.0
1245.0,10,66,11742.0
1250.0,6,70,12084.0
1255.0,8,67,12038.0
1260.0,13,61,11561.0
1265.0,15,61,11833.0
1270.0,14,66,12150.0
1275.0,8,68,12479.0
1280.0,4,70,12815.0
1285.0,0,75,13183.0
1290.0,0,74,13347.0
1295.0,5,70,13281.0
1300.0,7,65,13109.0
1305.0,13,61,12502.0
1310.0,9,60,12789.0
1315.0,5,62,13096.0
1320.0,9,64,13198.0
1325.0,9,67,13121.0
1330.0,11,67,13452.0
1335.0,12,69,13789.0
1340.0,10,71,14137.0
1345.0,5,74,14496.0
1350.0,0,76,14841.0
1355.0,-3,79,15162.0
1360.0,-7,81,15564.0
1365.0,-11,77,15472.0
1370.0,-15,71,14857.0
1375.0,-19,68,14694.0
1380.0,-20,65,15008.0
1385.0,-19,71,15354.0
1390.0,-19,76,15725.0
1395.0,-17,78,16079.0
1400.0,-17,77,16460.0
1405.0,-19,78,16848.0
1410.0,-19,80,17243.0
1415.0,-18,83,17651.0
1420.0,-17,81,18047.0
1425.0,-19,76,17930.0
1430.0,-19,71,17318.0
1435.0,-16,70,17666.0
1440.0,-11,73,17753.0
1445.0,-3,74,17578.0
1450.0,6,74,17740.0
1455.0,11,74,18106.0
1460.0,5,77,18484.0
1465.0,4,80,18878.0
1470.0,-2,84,19294.0
1475.0,-5,89,19332.0
1480.0,-13,86,18967.0
1485.0,-20,83,19037.0
1490.0,-18,85,19340.0
1495.0,-13,79,19526.0
1500.0,-12,80,19857.0
1505.0,-16,85,20270.0
1510.0,-20,91,20655.0
1515.0,-19,84,20724.0
1520.0,-11,80,20441.0
1525.0,-3,78,20692.0
1530.0,4,79,20806.0
1535.0,-1,84,21200.0
1540.0,1,86,21545.0
1545.0,2,84,21839.0
1550.0,4,86,22217.0
1555.0,0,94,22664.0
1560.0,-14,98,23151.0
1565.0,-22,101,23653.0
1570.0,-26,99,23748.0
1575.0,-23,93,22982.0
1580.0,-14,89,23323.0
1585.0,-15,95,23655.0
1590.0,-17,97,24074.0
1595.0,-20,97,24528.0
1600.0,-14,97,24740.0
1605.0,-5,94,24947.0
1610.0,4,93,25397.0
1615.0,12,92,25448.0
1620.0,10,93,25910.0
1625.0,3,97,26385.0
1630.0,-3,101,26883.0
1635.0,-9,103,27395.0
1640.0,-17,96,27103.0
1645.0,-16,85,26094.0
1650.0,-15,81,25941.0
1655.0,-12,80,26329.0
1660.0,-14,86,26721.0
1665.0,-17,90,26898.0
1670.0,-21,91,26917.0
1675.0,-23,90,27360.0
1680.0,-22,92,27800.0
1685.0,-22,97,28270.0
1690.0,-21,102,28771.0
1695.0,-22,96,29092.0
1700.0,-22,91,29248.0
1705.0,-22,90,29342.0
1710.0,-22,93,29689.0
1715.0,-23,90,30141.0
1720.0,-20,85,30323.0
1725.0,-19,87,30325.0
1730.0,-18,89,30558.0
1735.0,-14,90,30937.0
1740.0,-13,93,31390.0
1745.0,-16,92,31639.0
1750.0,-21,89,31800.0
1755.0,-22,91,32111.0
1760.0,-22,91,32560.0
1765.0,-21,89,32209.0
1770.0,-21,85,31040.0
1775.0,-22,81,31441.0
1780.0,-21,79,31830.0
1785.0,-20,85,32243.0
1790.0,-20,85,32656.0
1795.0,-20,87,33077.0
1800.0,-20,88,33517.0
1805.0,-21,85,33031.0
1810.0,-17,72,30983.0
1815.0,-17,62,29026.0
1820.0,-18,56,28936.0
1825.0,-20,55,29190.0
1830.0,-23,60,29459.0
1835.0,-24,67,29785.0
1840.0,-24,81,30161.0
1845.0,-28,79,29774.0
1850.0,-17,69,27708.0
1855.0,-10,62,27535.0
1860.0,-9,65,27852.0
1865.0,-10,65,27868.0
1870.0,-14,68,27741.0
1875.0,-19,67,27823.0
1880.0,-27,71,27941.0
1885.0,-22,70,28230.0
1890.0,-11,65,27826.0
1895.0,-8,69,26724.0
1900.0,-11,65,26289.0
1905.0,-9,60,26524.0
1910.0,-10,60,26652.0
1915.0,-15,62,26277.0
1920.0,-17,65,26267.0
1925.0,-25,68,26594.0
1930.0,-24,70,26935.0
1935.0,-25,79,27316.0
1940.0,-19,72,26913.0
