step_time,reward,total_stopped,total_wait_time
5.0,1,0,0.0
10.0,1,0,0.0
15.0,1,1,2.0
20.0,0,2,9.0
25.0,-1,4,27.0
30.0,-1,4,47.0
35.0,2,4,67.0
40.0,3,4,87.0
45.0,4,4,107.0
50.0,0,5,132.0
55.0,-2,6,162.0
60.0,-2,6,192.0
65.0,0,6,222.0
70.0,0,6,252.0
75.0,3,7,285.0
80.0,2,11,338.0
85.0,-2,13,399.0
90.0,-3,14,465.0
95.0,-2,14,535.0
100.0,-4,15,609.0
105.0,-4,18,691.0
110.0,-8,17,772.0
115.0,-5,18,858.0
120.0,-5,19,950.0
125.0,-10,16,935.0
130.0,-10,13,801.0
135.0,-8,12,786.0
140.0,-8,18,866.0
145.0,-11,23,965.0
150.0,-12,26,1092.0
155.0,-12,27,1227.0
160.0,-10,27,1360.0
165.0,-9,27,1495.0
170.0,-9,29,1638.0
175.0,-10,27,1743.0
180.0,-11,27,1814.0
185.0,-15,29,1952.0
190.0,-14,26,1985.0
195.0,-14,23,1899.0
200.0,-14,20,1902.0
205.0,-15,25,2011.0
210.0,-14,28,2135.0
215.0,-17,32,2289.0
220.0,-11,30,2244.0
225.0,-3,26,2065.0
230.0,5,24,2044.0
235.0,12,21,2142.0
240.0,8,26,2254.0
245.0,7,31,2305.0
250.0,1,30,2371.0
255.0,-7,33,2518.0
260.0,-11,36,2684.0
265.0,-14,35,2854.0
270.0,-14,35,3020.0
275.0,-17,35,3183.0
280.0,-17,36,3360.0
285.0,-10,33,3340.0
290.0,-1,31,3137.0
295.0,6,28,3286.0
300.0,10,28,3417.0
305.0,8,29,3557.0
310.0,3,31,3619.0
315.0,4,36,3702.0
320.0,1,38,3885.0
325.0,-8,42,4091.0
330.0,-13,42,4301.0
335.0,-17,43,4512.0
340.0,-15,47,4739.0
345.0,-16,46,4964.0
350.0,-17,45,5188.0
355.0,-18,45,5412.0
360.0,-18,46,5639.0
365.0,-18,45,5861.0
370.0,-18,47,6089.0
375.0,-18,44,6178.0
380.0,-13,37,5848.0
385.0,-5,34,5394.0
390.0,4,35,5560.0
395.0,12,35,5736.0
400.0,8,38,5913.0
405.0,6,41,6111.0
410.0,2,45,6323.0
415.0,-6,47,6453.0
420.0,-12,47,6483.0
425.0,-18,48,6697.0
430.0,-20,51,6947.0
435.0,-14,47,6901.0
440.0,-7,42,6393.0
445.0,5,33,6262.0
450.0,14,28,5838.0
455.0,9,29,5686.0
460.0,7,30,5779.0
465.0,3,33,5872.0
470.0,0,39,6034.0
475.0,0,43,5976.0
480.0,1,42,5727.0
485.0,8,38,5906.0
490.0,10,36,5886.0
495.0,11,33,5723.0
500.0,9,36,5858.0
505.0,3,42,6004.0
510.0,-5,46,6215.0
515.0,-11,48,6449.0
520.0,-17,50,6696.0
525.0,-19,47,6914.0
530.0,-19,46,7109.0
535.0,-19,45,7129.0
540.0,-16,40,6953.0
545.0,-9,41,6900.0
550.0,-2,37,6383.0
555.0,8,32,6551.0
560.0,13,32,6712.0
565.0,11,35,6879.0
570.0,6,40,6631.0
575.0,4,41,6824.0
580.0,-1,41,7005.0
585.0,-7,48,7217.0
590.0,-12,49,7417.0
595.0,-16,48,7561.0
600.0,-18,49,7800.0
605.0,-19,50,8046.0
610.0,-13,47,8030.0
615.0,-6,42,7519.0
620.0,4,37,7480.0
625.0,13,32,7341.0
630.0,12,33,7454.0
635.0,5,37,7535.0
640.0,2,42,7705.0
645.0,-3,46,7914.0
650.0,-7,46,7654.0
655.0,-11,36,6226.0
660.0,-4,29,5998.0
665.0,6,24,6090.0
670.0,12,23,6154.0
675.0,11,24,6070.0
680.0,6,32,6192.0
685.0,4,42,6373.0
690.0,-3,44,6572.0
695.0,-10,41,6287.0
700.0,-16,37,5616.0
705.0,-18,37,5402.0
710.0,-18,37,5565.0
715.0,-19,39,5708.0
720.0,-17,42,5900.0
725.0,-17,42,6097.0
730.0,-17,46,6285.0
735.0,-16,49,6523.0
740.0,-20,47,6625.0
745.0,-18,43,6515.0
750.0,-12,39,6509.0
755.0,-16,40,6656.0
760.0,-19,40,6856.0
765.0,-14,38,6762.0
770.0,-7,34,6161.0
775.0,4,30,6251.0
780.0,10,24,6359.0
785.0,9,27,6479.0
790.0,6,35,6637.0
795.0,2,35,6803.0
800.0,-3,37,6941.0
805.0,-4,35,6855.0
810.0,-2,33,6536.0
815.0,3,28,6042.0
820.0,11,22,5387.0
825.0,9,20,5470.0
830.0,7,19,5532.0
835.0,5,26,5646.0
840.0,2,36,5808.0
845.0,-7,41,5961.0
850.0,-6,41,5912.0
855.0,0,34,5639.0
860.0,8,33,5771.0
865.0,13,34,5930.0
870.0,11,32,6057.0
875.0,8,32,6135.0
880.0,-1,34,6271.0
885.0,-6,33,5974.0
890.0,-14,34,5281.0
895.0,-12,26,5177.0
900.0,-7,19,4672.0
905.0,5,17,4744.0
910.0,14,18,4827.0
915.0,11,23,4916.0
920.0,6,32,5055.0
925.0,2,33,5207.0
930.0,-5,35,5353.0
935.0,-9,38,5530.0
940.0,-13,38,5720.0
945.0,-18,35,5430.0
950.0,-18,31,4750.0
955.0,-18,27,4472.0
960.0,-17,30,4611.0
965.0,-19,30,4754.0
970.0,-19,34,4900.0
975.0,-18,36,5066.0
980.0,-15,36,5200.0
985.0,-17,38,5360.0
990.0,-11,35,5265.0
995.0,-2,29,4476.0
1000.0,2,24,3521.0
1005.0,15,15,3596.0
1010.0,14,16,3640.0
1015.0,10,23,3738.0
1020.0,6,28,3865.0
1025.0,6,35,3996.0
1030.0,-4,38,4136.0
1035.0,-6,39,4320.0
1040.0,-16,42,4523.0
1045.0,-17,40,4704.0
1050.0,-15,38,4842.0
1055.0,-16,38,5028.0
1060.0,-15,39,5220.0
1065.0,-17,41,5420.0
1070.0,-14,41,5619.0
1075.0,-16,41,5815.0
1080.0,-18,38,5999.0
1085.0,-17,38,6168.0
1090.0,-17,38,6011.0
1095.0,-17,35,5527.0
1100.0,-12,29,5437.0
1105.0,-8,20,5074.0
1110.0,6,18,5130.0
1115.0,15,18,5206.0
1120.0,11,26,5307.0
1125.0,8,32,5452.0
1130.0,4,34,5602.0
1135.0,-4,38,5761.0
1140.0,-10,38,5947.0
1145.0,-18,40,6144.0
1150.0,-19,37,5971.0
1155.0,-13,29,5152.0
1160.0,-5,20,4736.0
1165.0,5,16,4568.0
1170.0,14,17,4642.0
1175.0,11,20,4731.0
1180.0,6,28,4844.0
1185.0,5,35,4989.0
1190.0,2,35,4878.0
1195.0,6,32,4569.0
