step_time,reward,total_stopped,total_wait_time
5.0,1,0,0.0
10.0,3,0,0.0
15.0,4,0,0.0
20.0,2,1,5.0
25.0,1,3,16.0
30.0,-2,5,36.0
35.0,-2,6,65.0
40.0,0,7,96.0
45.0,1,7,131.0
50.0,1,8,170.0
55.0,1,9,214.0
60.0,-2,10,264.0
65.0,0,11,318.0
70.0,-1,14,385.0
75.0,-6,15,456.0
80.0,-6,16,535.0
85.0,-7,17,620.0
90.0,-4,16,697.0
95.0,-6,16,777.0
100.0,-9,17,862.0
105.0,-8,17,945.0
110.0,-7,17,1030.0
115.0,-9,20,1125.0
120.0,-10,22,1233.0
125.0,-10,24,1349.0
130.0,-8,26,1477.0
135.0,-6,28,1613.0
140.0,-7,30,1752.0
145.0,-11,30,1904.0
150.0,-11,33,2063.0
155.0,-12,34,2230.0
160.0,-12,35,2401.0
165.0,-11,36,2580.0
170.0,-12,35,2752.0
175.0,-13,34,2912.0
180.0,-11,34,3082.0
185.0,-6,31,3077.0
190.0,-2,25,2739.0
195.0,10,16,2515.0
200.0,10,14,2587.0
205.0,6,20,2673.0
210.0,4,24,2777.0
215.0,-2,31,2920.0
220.0,-6,36,3091.0
225.0,-12,42,3290.0
230.0,-14,42,3494.0
235.0,-13,40,3670.0
240.0,-15,37,3766.0
245.0,-13,38,3889.0
250.0,-14,39,4076.0
255.0,-17,39,4271.0
260.0,-18,40,4469.0
265.0,-18,39,4665.0
270.0,-18,39,4856.0
275.0,-17,39,5051.0
280.0,-17,39,5246.0
285.0,-17,40,5446.0
290.0,-15,38,5409.0
295.0,-16,33,5144.0
300.0,-18,26,5067.0
305.0,-13,23,4749.0
310.0,-7,23,4389.0
315.0,4,22,4263.0
320.0,12,24,4378.0
325.0,9,33,4518.0
330.0,4,37,4689.0
335.0,1,39,4646.0
340.0,-1,38,4247.0
345.0,-5,34,4412.0
350.0,-15,36,4588.0
355.0,-16,37,4765.0
360.0,-19,40,4959.0
365.0,-19,41,5120.0
370.0,-18,45,5249.0
375.0,-17,46,5470.0
380.0,-17,48,5710.0
385.0,-12,44,5640.0
390.0,-3,38,5090.0
395.0,7,27,4632.0
400.0,14,19,4346.0
405.0,11,17,4420.0
410.0,7,23,4506.0
415.0,3,33,4645.0
420.0,-2,38,4811.0
425.0,-9,47,5013.0
430.0,-18,49,5252.0
435.0,-12,46,5200.0
440.0,-3,42,4892.0
445.0,9,36,5048.0
450.0,15,34,5220.0
455.0,13,40,5405.0
460.0,9,37,5448.0
465.0,1,38,5420.0
470.0,1,38,5223.0
475.0,1,40,4960.0
480.0,4,38,5148.0
485.0,13,40,5347.0
490.0,9,44,5555.0
495.0,9,47,5778.0
500.0,0,49,5890.0
505.0,-7,53,5985.0
510.0,-7,53,6000.0
515.0,-3,48,5759.0
520.0,4,47,5912.0
525.0,11,44,6046.0
530.0,10,45,6260.0
535.0,8,48,6488.0
540.0,3,52,6734.0
545.0,-5,54,7002.0
550.0,-4,53,7008.0
555.0,0,49,6773.0
560.0,4,41,6457.0
565.0,11,34,5929.0
570.0,9,34,5732.0
575.0,6,38,5913.0
580.0,4,43,6107.0
585.0,-2,51,6316.0
590.0,-7,55,6575.0
595.0,-15,56,6837.0
600.0,-19,56,7084.0
605.0,-19,54,7193.0
610.0,-11,46,6957.0
615.0,-2,38,6620.0
620.0,6,32,6788.0
625.0,12,32,6942.0
630.0,10,40,7122.0
635.0,7,51,7353.0
640.0,4,55,7623.0
645.0,-4,59,7910.0
650.0,-7,60,8209.0
655.0,-13,60,8509.0
660.0,-11,62,8813.0
665.0,-11,57,8718.0
670.0,-16,52,8215.0
675.0,-11,47,8267.0
680.0,-5,44,8109.0
685.0,6,43,8318.0
690.0,12,43,8516.0
695.0,11,46,8726.0
700.0,5,53,8980.0
705.0,2,59,9266.0
710.0,-2,58,9336.0
715.0,-6,55,9177.0
720.0,-10,54,9227.0
725.0,-12,53,9485.0
730.0,-16,57,9761.0
735.0,-15,61,10058.0
740.0,-13,65,10370.0
745.0,-14,64,10690.0
750.0,-15,64,11003.0
755.0,-18,63,11312.0
760.0,-13,60,11389.0
765.0,-6,56,11228.0
770.0,6,53,11095.0
775.0,11,46,10557.0
780.0,11,43,10766.0
785.0,7,46,10988.0
790.0,-1,55,11245.0
795.0,-4,57,11520.0
800.0,-9,58,11573.0
805.0,-12,58,11517.0
810.0,-16,55,11623.0
815.0,-17,54,11889.0
820.0,-18,55,12159.0
825.0,-18,57,12433.0
830.0,-18,58,12539.0
835.0,-13,49,11838.0
840.0,-3,38,10867.0
845.0,8,35,10706.0
850.0,13,38,10889.0
855.0,6,48,11110.0
860.0,2,51,11155.0
865.0,-5,53,11106.0
870.0,-9,52,11343.0
875.0,-15,50,11555.0
880.0,-18,54,11815.0
885.0,-18,56,12089.0
890.0,-18,60,12381.0
895.0,-18,61,12685.0
900.0,-18,55,12284.0
905.0,-20,46,11301.0
910.0,-17,40,11027.0
915.0,-19,39,11219.0
920.0,-19,48,11440.0
925.0,-21,52,11208.0
930.0,-18,46,10365.0
935.0,-18,42,9853.0
940.0,-18,42,10054.0
945.0,-18,50,10284.0
950.0,-15,51,9733.0
955.0,-7,43,8599.0
960.0,4,40,8385.0
965.0,13,44,8573.0
970.0,11,44,8780.0
975.0,7,51,9009.0
980.0,3,57,9282.0
985.0,-3,65,9593.0
990.0,-4,65,9573.0
995.0,0,58,8739.0
1000.0,8,55,8092.0
1005.0,16,52,7809.0
1010.0,10,50,7885.0
1015.0,8,53,8035.0
1020.0,-1,59,8321.0
1025.0,-6,65,8634.0
1030.0,-11,67,8966.0
1035.0,-19,64,8917.0
1040.0,-21,59,8564.0
1045.0,-20,54,8621.0
1050.0,-18,49,8496.0
1055.0,-18,48,8739.0
1060.0,-18,50,8984.0
1065.0,-19,55,9246.0
1070.0,-19,63,9545.0
1075.0,-14,65,9808.0
1080.0,-17,64,9942.0
1085.0,-18,60,9984.0
1090.0,-14,55,9874.0
1095.0,-2,52,9808.0
1100.0,6,53,9500.0
1105.0,7,47,9734.0
1110.0,7,47,9970.0
1115.0,1,48,9954.0
1120.0,-5,51,9820.0
1125.0,-11,54,9944.0
1130.0,-15,56,10213.0
1135.0,-16,62,10510.0
1140.0,-14,62,10806.0
1145.0,-16,66,11131.0
1150.0,-14,70,11470.0
1155.0,-16,71,11563.0
1160.0,-18,67,10803.0
1165.0,-18,63,10342.0
1170.0,-20,57,10093.0
1175.0,-15,52,10339.0
1180.0,-12,53,10381.0
