step_time,reward,total_stopped,total_wait_time
5.0,2,0,0.0
10.0,2,0,0.0
15.0,4,0,0.0
20.0,8,3,8.0
25.0,9,5,27.0
30.0,5,7,55.0
35.0,-1,8,93.0
40.0,-5,9,137.0
45.0,-4,9,182.0
50.0,-3,10,228.0
55.0,-4,11,282.0
60.0,-6,15,349.0
65.0,-8,15,424.0
70.0,-8,15,499.0
75.0,-8,15,574.0
80.0,-8,18,656.0
85.0,-9,20,751.0
90.0,-9,21,854.0
95.0,-8,21,959.0
100.0,-7,23,1069.0
105.0,-10,23,1184.0
110.0,-10,24,1300.0
115.0,-10,27,1430.0
120.0,-8,23,1450.0
125.0,-12,21,1381.0
130.0,-14,18,1476.0
135.0,-14,22,1575.0
140.0,-16,27,1699.0
145.0,-15,31,1843.0
150.0,-13,33,2002.0
155.0,-14,37,2182.0
160.0,-13,41,2286.0
165.0,-16,34,2306.0
170.0,-19,27,2356.0
175.0,-19,28,2495.0
180.0,-18,33,2599.0
185.0,-16,36,2773.0
190.0,-17,39,2963.0
195.0,-19,39,3153.0
200.0,-13,36,3163.0
205.0,-5,33,2980.0
210.0,4,32,3141.0
215.0,14,29,3288.0
220.0,10,33,3424.0
225.0,5,34,3503.0
230.0,-1,34,3499.0
235.0,-5,40,3688.0
240.0,-11,45,3907.0
245.0,-19,46,4133.0
250.0,-19,45,4357.0
255.0,-19,45,4584.0
260.0,-19,45,4809.0
265.0,-14,43,4797.0
270.0,-6,33,4280.0
275.0,4,23,3722.0
280.0,12,20,3735.0
285.0,10,21,3835.0
290.0,8,28,3952.0
295.0,2,35,4112.0
300.0,0,40,4303.0
305.0,-8,48,4531.0
310.0,-13,48,4770.0
315.0,-17,49,5011.0
320.0,-18,43,4963.0
325.0,-16,35,4628.0
330.0,-15,35,4795.0
335.0,-14,37,4963.0
340.0,-16,39,5157.0
345.0,-18,43,5366.0
350.0,-18,47,5597.0
355.0,-18,49,5835.0
360.0,-18,52,6092.0
365.0,-18,50,6269.0
370.0,-20,49,6362.0
375.0,-20,51,6613.0
380.0,-15,49,6559.0
385.0,-7,42,6171.0
390.0,3,37,6055.0
395.0,12,31,5893.0
400.0,10,28,5414.0
405.0,5,23,5162.0
410.0,-2,27,5256.0
415.0,-5,30,5381.0
420.0,-9,40,5569.0
425.0,-17,40,5689.0
430.0,-19,41,5790.0
435.0,-19,43,5984.0
440.0,-18,42,6073.0
445.0,-15,41,6066.0
450.0,-14,40,6123.0
455.0,-15,42,6325.0
460.0,-16,40,6522.0
465.0,-17,43,6729.0
470.0,-19,42,6889.0
475.0,-14,41,6702.0
480.0,-6,33,6207.0
485.0,7,29,6313.0
490.0,15,24,6148.0
495.0,11,23,5701.0
500.0,5,22,5544.0
505.0,0,24,5634.0
510.0,-6,31,5777.0
515.0,-12,38,5956.0
520.0,-18,41,6156.0
525.0,-19,42,6327.0
530.0,-18,43,6487.0
535.0,-13,37,6031.0
540.0,-5,28,4978.0
545.0,4,21,4499.0
550.0,12,14,4536.0
555.0,9,18,4528.0
560.0,8,25,4598.0
565.0,3,33,4748.0
570.0,1,39,4869.0
575.0,-11,43,5025.0
580.0,-12,40,4933.0
585.0,-17,34,4395.0
590.0,-16,28,4520.0
595.0,-18,26,4646.0
600.0,-19,31,4787.0
605.0,-19,30,4930.0
610.0,-14,31,4679.0
615.0,-6,30,4183.0
620.0,4,29,4333.0
625.0,10,28,4476.0
630.0,6,32,4628.0
635.0,7,32,4718.0
640.0,0,35,4863.0
645.0,1,35,4689.0
650.0,8,32,4268.0
655.0,11,31,4423.0
660.0,13,30,4572.0
665.0,9,34,4730.0
670.0,4,36,4908.0
675.0,3,43,5103.0
680.0,-3,42,5308.0
685.0,-8,43,5514.0
690.0,-15,42,5440.0
695.0,-17,40,5079.0
700.0,-18,33,5243.0
705.0,-13,29,5038.0
710.0,-4,25,4521.0
715.0,5,24,4539.0
720.0,12,28,4613.0
725.0,6,32,4760.0
730.0,4,36,4920.0
735.0,0,39,5096.0
740.0,-5,44,5299.0
745.0,-5,39,4964.0
750.0,-1,26,4054.0
755.0,5,19,3687.0
760.0,12,18,3622.0
765.0,12,19,3602.0
770.0,9,22,3688.0
775.0,4,32,3797.0
780.0,1,35,3905.0
785.0,-7,38,4051.0
790.0,-11,41,4249.0
795.0,-19,43,4462.0
800.0,-18,41,4663.0
805.0,-16,44,4871.0
810.0,-13,40,5053.0
815.0,-15,39,5226.0
820.0,-18,39,5414.0
825.0,-18,39,5607.0
830.0,-16,39,5802.0
835.0,-16,37,5728.0
840.0,-18,35,5394.0
845.0,-18,28,5287.0
850.0,-17,27,5403.0
855.0,-18,31,5537.0
860.0,-12,27,5317.0
865.0,-4,24,4883.0
870.0,5,24,4746.0
875.0,12,21,4355.0
880.0,8,18,4190.0
885.0,6,18,4278.0
890.0,3,24,4371.0
895.0,-1,29,4479.0
900.0,-10,31,4615.0
905.0,-15,38,4789.0
910.0,-17,41,4985.0
915.0,-12,42,4909.0
920.0,-7,37,4544.0
925.0,7,31,4698.0
930.0,11,33,4851.0
935.0,10,31,4947.0
940.0,5,31,5016.0
945.0,0,34,5159.0
950.0,-5,35,5050.0
955.0,-8,31,4645.0
960.0,-13,28,4778.0
965.0,-19,28,4920.0
970.0,-19,32,5070.0
975.0,-16,30,5202.0
980.0,-18,34,5330.0
985.0,-15,37,5511.0
990.0,-14,39,5696.0
995.0,-13,38,5875.0
1000.0,-14,38,6067.0
1005.0,-16,40,6263.0
1010.0,-18,43,6473.0
1015.0,-19,44,6360.0
1020.0,-18,35,6056.0
1025.0,-17,27,6150.0
1030.0,-12,25,5925.0
1035.0,-6,23,5399.0
