,t-time
EV_flow.0,50.08395848759351
EV_flow.1,45.15918926478205
EV_flow.2,25.84411346263335
EV_flow.3,30.370482673211477
EV_flow.4,23.00057645508613
EV_flow.5,29.90659793953546
EV_flow.6,12.419903265576192
EV_flow.7,47.431759381544346
EV_flow.8,31.62422603593025
EV_flow.9,2.013953008287906
EV_flow.10,30.70933264901065
EV_flow.11,89.02851144477722
EV_flow.12,23.24992532273216
EV_flow.13,13.78030585464975
EV_flow.14,31.797855550375445
EV_flow.15,1.3286393350119075
EV_flow.16,63.1794324530177
EV_flow.17,15.201478185325751
EV_flow.18,14.249478149029887
EV_flow.19,9.495171270486834
EV_flow.20,4.078692952263522
EV_flow.21,20.280834761954758
EV_flow.22,13.156973658513095
EV_flow.23,16.33880173624837
EV_flow.24,16.686205267185706
EV_flow.25,16.6883766938849
EV_flow.26,113.14524636745465
EV_flow.27,19.951738450068763
EV_flow.28,7.994699826443841
EV_flow.29,26.667328288396916
EV_flow.30,17.133760324833528
EV_flow.31,12.154562830641465
EV_flow.32,24.49812216142568
EV_flow.33,32.38236129542132
EV_flow.34,27.365436934834033
EV_flow.35,22.419586421830637
EV_flow.36,25.05141489417394
EV_flow.37,22.22626080491944
EV_flow.38,52.882724571272234
EV_flow.39,51.05502098654139
EV_flow.40,42.86391267252648
EV_flow.41,23.716053115457193
EV_flow.42,1.4219516403638561
EV_flow.43,6.633155259484211
EV_flow.44,30.974728521606753
EV_flow.45,14.137421919838529
EV_flow.46,27.222470683551798
EV_flow.47,32.243085144309
EV_flow.48,20.343348293324667
EV_flow.49,26.770079391134974
EV_flow.50,47.00567829578013
EV_flow.51,20.981630499748324
EV_flow.52,36.40516146118521
EV_flow.53,14.91890600299743
EV_flow.54,21.13830894059671
EV_flow.55,56.97985945969182
EV_flow.56,48.04034106036241
EV_flow.57,38.24801098914418
EV_flow.58,36.83251815072531
EV_flow.59,83.39400632985242
EV_flow.60,129.16539155897576
EV_flow.61,55.797146346029685
EV_flow.62,48.45002298556756
EV_flow.63,79.3715267181353
EV_flow.64,61.54880104285525
EV_flow.65,157.95432298489405
EV_flow.66,68.07468074200722
EV_flow.67,66.7354547534945
EV_flow.68,46.58284637279288
EV_flow.69,17.107924656258895
EV_flow.70,108.44142797089995
EV_flow.71,57.321639900424685
EV_flow.72,16.20815696108436
EV_flow.73,262.4195432335077
EV_flow.74,70.54334349281139
EV_flow.75,163.28018201029573
EV_flow.76,104.69447493324348
EV_flow.77,40.39017231495723
EV_flow.78,150.44655642598832
EV_flow.79,59.70681633501306
EV_flow.80,48.73432518658196
EV_flow.81,10.393977153450328
EV_flow.82,78.65514999683288
EV_flow.83,101.23316341576675
EV_flow.84,127.25760665875079
EV_flow.85,76.3669011818438
EV_flow.86,161.02222104804653
EV_flow.87,30.825809799650994
EV_flow.89,50.586671680892586
EV_flow.88,295.0615876037795
EV_flow.90,43.211625213643046
EV_flow.91,108.76731395301968
EV_flow.92,103.22250396083287
EV_flow.93,116.09972812088495
EV_flow.94,131.1124646625162
EV_flow.95,100.27835253495023
EV_flow.96,69.42071722579284
EV_flow.97,33.988219613437174
EV_flow.98,119.18286323986246
EV_flow.99,117.69651091332284
EV_flow.100,23.77405988549006
EV_flow.101,99.84922247334956
EV_flow.102,20.061385980300038
EV_flow.103,144.56508989476566
EV_flow.104,73.22870545862105
EV_flow.105,91.91644911823799
EV_flow.106,118.34185228573034
EV_flow.107,43.35304493899811
EV_flow.108,82.8600274880298
EV_flow.109,39.926930929388725
EV_flow.110,125.52205765613307
EV_flow.111,241.4231469952019
EV_flow.112,179.7224911292651
EV_flow.113,239.67312481865605
EV_flow.114,98.50843633831832
EV_flow.115,154.02026052499733
EV_flow.116,141.82930060046826
EV_flow.117,90.94864121063652
EV_flow.118,294.9225195987492
EV_flow.120,39.60115643780031
EV_flow.119,432.1043378154691
EV_flow.121,234.47430122243358
EV_flow.122,238.68702426683245
EV_flow.123,238.69878935387715
EV_flow.124,189.05066465257295
EV_flow.126,103.40050972048796
EV_flow.125,527.0645986931082
EV_flow.127,194.29243170338148
EV_flow.128,401.5188816518596
EV_flow.129,208.29585464285827
EV_flow.130,147.15831104055923
EV_flow.131,84.10752372511651
EV_flow.132,143.88610786884297
EV_flow.133,247.15938200952579
EV_flow.134,59.588647674571135
EV_flow.135,128.56753109412023
EV_flow.136,127.61549285328972
EV_flow.137,44.74336569777605
EV_flow.138,69.81725877983375
EV_flow.139,201.46534659840643
EV_flow.140,242.26455607534834
EV_flow.141,222.67871393224186
EV_flow.142,35.0927045463873
EV_flow.143,165.00097368763565
EV_flow.144,203.15801703276995
EV_flow.145,118.94837125599902
EV_flow.146,81.71630350963395
EV_flow.147,21.764557261705008
EV_flow.148,10.797628171299456
EV_flow.149,112.96761135611699
EV_flow.150,37.761245058998945
EV_flow.151,71.04633382121862
EV_flow.152,140.84048635447533
EV_flow.153,13.088895315919807
EV_flow.154,27.193909515293516
EV_flow.155,12.414565763078151
EV_flow.156,124.70675513633785
EV_flow.157,79.4410683596602
EV_flow.158,185.53008052187778
EV_flow.159,111.30864279822575
EV_flow.160,143.86493228516125
EV_flow.161,108.69704040205242
EV_flow.163,103.89011352770578
EV_flow.162,300.3205758773745
EV_flow.164,289.695014858933
EV_flow.166,17.482924387745637
EV_flow.165,390.4635322484215
EV_flow.167,217.73348134615856
EV_flow.168,43.607390400273296
EV_flow.169,126.73752139803338
EV_flow.170,167.76331956565568
EV_flow.171,367.3757251461885
EV_flow.173,68.33318978966743
EV_flow.172,531.9160259254842
EV_flow.174,181.02766084412102
EV_flow.175,71.84610518303163
EV_flow.176,9.341530076329693
EV_flow.177,42.26864854024728
EV_flow.178,6.328284744625173
EV_flow.179,242.7531476059644
EV_flow.180,167.56424137986403
EV_flow.181,29.21807342151959
EV_flow.182,121.13481664872987
EV_flow.183,142.8683879199426
EV_flow.184,39.60787187457682
EV_flow.185,73.92559612112987
EV_flow.186,185.0164801707757
EV_flow.187,141.17515346068635
EV_flow.188,238.3787674161786
EV_flow.189,189.62253268878672
EV_flow.190,158.99605506323937
EV_flow.191,1.5910110408600995
EV_flow.192,122.81610178768966
EV_flow.193,244.1867256164625
EV_flow.194,88.50737232098463
EV_flow.195,349.8040010852754
EV_flow.196,146.82218042787318
EV_flow.198,54.06472427824656
EV_flow.197,363.55917836547513
EV_flow.199,355.8323186520015
